A1BG	ENSP00000263100
ABHD14B	ENSP00000420065
ABHD15	ENSP00000302657
ABHD16A	ENSP00000379282
ABHD16B	ENSP00000358932
ABHD17A	ENSP00000250974
ABHD17B	ENSP00000366240
ABHD17C	ENSP00000258884
ABHD18	ENSP00000496010
ABHD1	ENSP00000326491
ABHD2	ENSP00000268129
ABHD3	ENSP00000289119
ABHD4	ENSP00000414558
ABHD5	ENSP00000495778
ABHD6	ENSP00000420315
ABHD8	ENSP00000247706
ABI1	ENSP00000365312
ABI2	ENSP00000295851
ABI3BP	ENSP00000420524
ABI3	ENSP00000225941
ABL1	ENSP00000361423
ABL2	ENSP00000427562
ABLIM1	ENSP00000497150
ABLIM2	ENSP00000441255
ABLIM3	ENSP00000310309
ABO	ENSP00000483018
ABRA	ENSP00000311436
ABR	ENSP00000461565
ABT1	ENSP00000274849
ABTB1	ENSP00000232744
ABTB2	ENSP00000410157
AC005551	ENSP00000493273
AC011195	ENSP00000492384
AC138647	ENSP00000493548
AC187653	ENSP00000492766
AC233755	ENSP00000478289
ACAA1	ENSP00000333664
ACAA2	ENSP00000285093
ACACB	ENSP00000341044
ACAD10	ENSP00000389813
ACAD11	ENSP00000264990
ACAD8	ENSP00000281182
ACAD9	ENSP00000312618
ACADL	ENSP00000233710
ACADM	ENSP00000359871
ACADSB	ENSP00000357873
ACADS	ENSP00000242592
ACADVL	ENSP00000438689
ACAP1	ENSP00000158762
ACAP2	ENSP00000324287
ACAP3	ENSP00000346733
ACAT1	ENSP00000265838
ACAT2	ENSP00000356015
ACBD3	ENSP00000355777
ACBD4	ENSP00000465610
ACBD5	ENSP00000365049
ACBD6	ENSP00000495710
ACBD7	ENSP00000367453
ACCS	ENSP00000263776
ACCSL	ENSP00000368109
ACD	ENSP00000483117
ACE2	ENSP00000252519
ACE	ENSP00000290866
ACER1	ENSP00000301452
ACER2	ENSP00000342609
ACER3	ENSP00000434480
ACHE	ENSP00000404865
ACIN1	ENSP00000262710
ACKR1	ENSP00000357103
ACKR2	ENSP00000396150
ACKR3	ENSP00000272928
ACKR4	ENSP00000249887
ACLY	ENSP00000253792
ACMSD	ENSP00000348459
ACO1	ENSP00000369255
ACO2	ENSP00000379769
ACOD1	ENSP00000366682
ACOT11	ENSP00000360366
ACOT12	ENSP00000303246
ACOT13	ENSP00000230048
ACOT2	ENSP00000238651
ACOT4	ENSP00000323071
ACOT7	ENSP00000367086
ACOT8	ENSP00000217455
ACOT9	ENSP00000368605
ACOX1	ENSP00000293217
ACOX2	ENSP00000307697
ACOX3	ENSP00000348775
ACOXL	ENSP00000407761
ACP1	ENSP00000272067
ACP2	ENSP00000256997
ACP5	ENSP00000496973
ACP6	ENSP00000463574
ACP7	ENSP00000327557
ACPP	ENSP00000323036
ACRBP	ENSP00000229243
ACR	ENSP00000216139
ACRV1	ENSP00000432816
ACSBG1	ENSP00000258873
ACSBG2	ENSP00000467755
ACSF2	ENSP00000401831
ACSF3	ENSP00000497456
ACSL1	ENSP00000422607
ACSL3	ENSP00000350012
ACSL4	ENSP00000419171
ACSL5	ENSP00000348429
ACSL6	ENSP00000498260
ACSM1	ENSP00000301956
ACSM2B	ENSP00000327453
ACSM3	ENSP00000289416
ACSM4	ENSP00000382349
ACSM5	ENSP00000327916
ACSS1	ENSP00000316924
ACSS2	ENSP00000253382
ACSS3	ENSP00000449535
ACTA2	ENSP00000224784
ACTB	ENSP00000494750
ACTC1	ENSP00000290378
ACTG1	ENSP00000458435
ACTG2	ENSP00000295137
ACTL6A	ENSP00000397552
ACTL6B	ENSP00000160382
ACTL7A	ENSP00000334300
ACTL7B	ENSP00000363799
ACTL8	ENSP00000364555
ACTL9	ENSP00000316674
ACTN1	ENSP00000439828
ACTN2	ENSP00000443495
ACTN3	ENSP00000422007
ACTN4	ENSP00000252699
ACTR10	ENSP00000254286
ACTR1A	ENSP00000358921
ACTR1B	ENSP00000289228
ACTR2	ENSP00000367220
ACTR3B	ENSP00000256001
ACTR3	ENSP00000263238
ACTR5	ENSP00000243903
ACTR6	ENSP00000188312
ACTR8	ENSP00000336842
ACTRT2	ENSP00000367658
ACTRT3	ENSP00000333037
ACVR1B	ENSP00000442656
ACVR1C	ENSP00000243349
ACVR1	ENSP00000263640
ACVR2A	ENSP00000241416
ACVR2B	ENSP00000340361
ACVRL1	ENSP00000447884
ACY3	ENSP00000255082
ACYP1	ENSP00000450873
ACYP2	ENSP00000475986
ADAD1	ENSP00000296513
ADAD2	ENSP00000268624
ADA	ENSP00000361965
ADAL	ENSP00000456242
ADAM10	ENSP00000260408
ADAM11	ENSP00000200557
ADAM12	ENSP00000357668
ADAM15	ENSP00000349436
ADAM17	ENSP00000309968
ADAM19	ENSP00000428654
ADAM20	ENSP00000498512
ADAM22	ENSP00000265727
ADAM23	ENSP00000264377
ADAM28	ENSP00000265769
ADAM29	ENSP00000384229
ADAM2	ENSP00000265708
ADAM30	ENSP00000358407
ADAM33	ENSP00000348912
ADAM7	ENSP00000430400
ADAM8	ENSP00000453302
ADAM9	ENSP00000419446
ADAMDEC1	ENSP00000256412
ADAMTS10	ENSP00000471851
ADAMTS12	ENSP00000422554
ADAMTS13	ENSP00000360997
ADAMTS14	ENSP00000362304
ADAMTS15	ENSP00000299164
ADAMTS16	ENSP00000274181
ADAMTS17	ENSP00000268070
ADAMTS18	ENSP00000282849
ADAMTS19	ENSP00000274487
ADAMTS1	ENSP00000284984
ADAMTS20	ENSP00000374071
ADAMTS2	ENSP00000251582
ADAMTS3	ENSP00000286657
ADAMTS4	ENSP00000356975
ADAMTS5	ENSP00000284987
ADAMTS8	ENSP00000257359
ADAMTS9	ENSP00000418735
ADAMTSL1	ENSP00000369921
ADAMTSL2	ENSP00000376781
ADAMTSL3	ENSP00000286744
ADAMTSL5	ENSP00000327608
ADAP1	ENSP00000442682
ADAP2	ENSP00000464121
ADARB1	ENSP00000435381
ADARB2	ENSP00000370713
ADAR	ENSP00000357459
ADAT1	ENSP00000310015
ADAT3	ENSP00000332448
ADCK1	ENSP00000238561
ADCK2	ENSP00000072869
ADCK5	ENSP00000310547
ADCY10	ENSP00000356825
ADCY1	ENSP00000297323
ADCY2	ENSP00000342952
ADCY3	ENSP00000384484
ADCY4	ENSP00000312126
ADCY5	ENSP00000419361
ADCY6	ENSP00000311405
ADCY7	ENSP00000378187
ADCY8	ENSP00000286355
ADCY9	ENSP00000294016
ADCYAP1	ENSP00000411658
ADCYAP1R1	ENSP00000386395
ADD1	ENSP00000264758
ADD2	ENSP00000384303
ADD3	ENSP00000348381
ADGB	ENSP00000381036
ADGRA1	ENSP00000475778
ADGRA2	ENSP00000406367
ADGRA3	ENSP00000334952
ADGRB1	ENSP00000430945
ADGRB2	ENSP00000362762
ADGRD1	ENSP00000444425
ADGRE1	ENSP00000311545
ADGRE3	ENSP00000253673
ADGRE5	ENSP00000242786
ADGRF1	ENSP00000360299
ADGRF2	ENSP00000296862
ADGRF3	ENSP00000307831
ADGRF4	ENSP00000360264
ADGRF5	ENSP00000265417
ADGRG1	ENSP00000455215
ADGRG2	ENSP00000369198
ADGRG3	ENSP00000332900
ADGRG4	ENSP00000377699
ADGRG5	ENSP00000290823
ADGRG6	ENSP00000356581
ADGRG7	ENSP00000273352
ADGRL1	ENSP00000340688
ADGRL2	ENSP00000359760
ADGRL3	ENSP00000420931
ADGRL4	ENSP00000359778
ADGRV1	ENSP00000384582
ADH1B	ENSP00000306606
ADH1C	ENSP00000426083
ADH4	ENSP00000424630
ADH5	ENSP00000296412
ADH7	ENSP00000420269
ADHFE1	ENSP00000379865
ADI1	ENSP00000333666
ADIPOQ	ENSP00000320709
ADIPOR1	ENSP00000341785
ADIPOR2	ENSP00000349616
ADIRF	ENSP00000361083
ADK	ENSP00000286621
ADM2	ENSP00000379087
ADM	ENSP00000278175
ADNP2	ENSP00000262198
ADNP	ENSP00000360662
ADO	ENSP00000362888
ADORA1	ENSP00000308549
ADORA2A	ENSP00000336630
ADORA2B	ENSP00000304501
ADORA3	ENSP00000241356
ADPGK	ENSP00000312250
ADPRH	ENSP00000420200
ADPRHL1	ENSP00000489048
ADPRHL2	ENSP00000362273
ADPRM	ENSP00000369099
ADRA1A	ENSP00000369960
ADRA1B	ENSP00000306662
ADRA1D	ENSP00000368766
ADRA2A	ENSP00000280155
ADRA2B	ENSP00000480573
ADRA2C	ENSP00000386069
ADRB1	ENSP00000358301
ADRB2	ENSP00000305372
ADRM1	ENSP00000478877
ADSL	ENSP00000216194
ADSS	ENSP00000355493
ADTRP	ENSP00000229583
AEBP1	ENSP00000223357
AEBP2	ENSP00000381840
AEN	ENSP00000331944
AFAP1	ENSP00000371983
AFAP1L1	ENSP00000296721
AFAP1L2	ENSP00000303042
AFDN	ENSP00000383623
AFF1	ENSP00000378578
AFF2	ENSP00000359489
AFF3	ENSP00000386834
AFF4	ENSP00000265343
AFG3L2	ENSP00000269143
AFM	ENSP00000226355
AFMID	ENSP00000328938
AFP	ENSP00000226359
AFTPH	ENSP00000387071
AGA	ENSP00000264595
AGAP1	ENSP00000386897
AGAP2	ENSP00000449241
AGAP3	ENSP00000380413
AGBL1	ENSP00000413001
AGBL2	ENSP00000350228
AGBL3	ENSP00000388275
AGBL4	ENSP00000360905
AGBL5	ENSP00000353249
AGER	ENSP00000364210
AGFG1	ENSP00000387282
AGFG2	ENSP00000300176
AGK	ENSP00000497280
AGL	ENSP00000355106
AGMAT	ENSP00000364986
AGMO	ENSP00000341662
AGO1	ENSP00000362300
AGO2	ENSP00000220592
AGO3	ENSP00000362287
AGO4	ENSP00000362306
AGPAT1	ENSP00000378874
AGPAT2	ENSP00000360761
AGPAT3	ENSP00000291572
AGPAT4	ENSP00000314036
AGPAT5	ENSP00000285518
AGPS	ENSP00000264167
AGR2	ENSP00000386025
AGR3	ENSP00000308606
AGRN	ENSP00000368678
AGRP	ENSP00000290953
AGT	ENSP00000355627
AGTPBP1	ENSP00000338512
AGTR1	ENSP00000398832
AGTR2	ENSP00000360973
AGXT2	ENSP00000231420
AGXT	ENSP00000302620
AHCTF1	ENSP00000355464
AHCY	ENSP00000217426
AHCYL1	ENSP00000358814
AHCYL2	ENSP00000315931
AHDC1	ENSP00000247087
AHNAK2	ENSP00000353114
AHNAK	ENSP00000367263
AHR	ENSP00000242057
AHRR	ENSP00000323816
AHSA1	ENSP00000216479
AHSG	ENSP00000273784
AHSP	ENSP00000307199
AICDA	ENSP00000229335
AIDA	ENSP00000339161
AIF1	ENSP00000365227
AIF1L	ENSP00000361383
AIFM1	ENSP00000287295
AIFM2	ENSP00000362345
AIFM3	ENSP00000382120
AIG1	ENSP00000275235
AIM2	ENSP00000357112
AIMP1	ENSP00000378191
AIMP2	ENSP00000223029
AIP	ENSP00000279146
AIPL1	ENSP00000370521
AIRE	ENSP00000291582
AJAP1	ENSP00000367432
AJUBA	ENSP00000262713
AK1	ENSP00000223836
AK2	ENSP00000346921
AK3	ENSP00000371230
AK4	ENSP00000322175
AK5	ENSP00000346577
AK6	ENSP00000370201
AK7	ENSP00000267584
AK8	ENSP00000298545
AK9	ENSP00000410186
AKAP10	ENSP00000225737
AKAP11	ENSP00000025301
AKAP12	ENSP00000253332
AKAP13	ENSP00000354718
AKAP14	ENSP00000360485
AKAP17A	ENSP00000324827
AKAP1	ENSP00000337736
AKAP3	ENSP00000440994
AKAP4	ENSP00000351327
AKAP5	ENSP00000378207
AKAP6	ENSP00000280979
AKAP7	ENSP00000441048
AKAP8	ENSP00000269701
AKAP8L	ENSP00000380557
AKAP9	ENSP00000351922
AKIP1	ENSP00000310459
AKIRIN1	ENSP00000392678
AKIRIN2	ENSP00000257787
AKNAD1	ENSP00000359018
AKNA	ENSP00000363201
AKR1A1	ENSP00000361140
AKR1B10	ENSP00000352584
AKR1B1	ENSP00000285930
AKR1C1	ENSP00000370254
AKR1C3	ENSP00000401327
AKR1D1	ENSP00000242375
AKR1E2	ENSP00000298375
AKR7A2	ENSP00000235835
AKR7A3	ENSP00000355377
AKR7L	ENSP00000411913
AKT1	ENSP00000451828
AKT1S1	ENSP00000375711
AKT2	ENSP00000375892
AKT3	ENSP00000355497
AKTIP	ENSP00000300245
AL032819	ENSP00000492108
AL109810	ENSP00000498721
ALAD	ENSP00000386284
ALAS1	ENSP00000417719
ALAS2	ENSP00000497236
ALB	ENSP00000295897
ALCAM	ENSP00000305988
ALDH16A1	ENSP00000293350
ALDH18A1	ENSP00000360268
ALDH1A1	ENSP00000297785
ALDH1A2	ENSP00000249750
ALDH1A3	ENSP00000332256
ALDH1B1	ENSP00000366927
ALDH1L1	ENSP00000273450
ALDH1L2	ENSP00000499136
ALDH2	ENSP00000261733
ALDH3A1	ENSP00000225740
ALDH3A2	ENSP00000461916
ALDH3B1	ENSP00000478486
ALDH4A1	ENSP00000290597
ALDH5A1	ENSP00000314649
ALDH6A1	ENSP00000450436
ALDH7A1	ENSP00000490811
ALDH8A1	ENSP00000265605
ALDH9A1	ENSP00000346827
ALDOB	ENSP00000497767
ALDOC	ENSP00000378731
ALG10	ENSP00000266483
ALG11	ENSP00000430236
ALG12	ENSP00000333813
ALG13	ENSP00000378260
ALG14	ENSP00000359224
ALG1	ENSP00000262374
ALG2	ENSP00000417764
ALG3	ENSP00000380793
ALG5	ENSP00000239891
ALG6	ENSP00000263440
ALG8	ENSP00000299626
ALKBH1	ENSP00000216489
ALKBH2	ENSP00000343021
ALKBH3	ENSP00000302232
ALKBH4	ENSP00000292566
ALKBH5	ENSP00000382091
ALKBH6	ENSP00000368152
ALKBH7	ENSP00000245812
ALKBH8	ENSP00000397673
ALK	ENSP00000373700
ALLC	ENSP00000252505
ALMS1	ENSP00000482968
ALOX12B	ENSP00000497784
ALOX12	ENSP00000251535
ALOX15B	ENSP00000369530
ALOX15	ENSP00000458832
ALOX5AP	ENSP00000479870
ALOX5	ENSP00000363512
ALOXE3	ENSP00000369494
ALPI	ENSP00000295463
ALPK1	ENSP00000177648
ALPK2	ENSP00000354991
ALPK3	ENSP00000258888
ALPL	ENSP00000363973
ALS2CL	ENSP00000313670
ALS2	ENSP00000264276
ALX1	ENSP00000315417
ALX3	ENSP00000497310
ALX4	ENSP00000498217
ALYREF	ENSP00000421592
AMACR	ENSP00000371517
AMBN	ENSP00000313809
AMBP	ENSP00000265132
AMBRA1	ENSP00000415327
AMD1	ENSP00000357880
AMDHD1	ENSP00000266736
AMDHD2	ENSP00000391596
AMELX	ENSP00000370088
AMER1	ENSP00000364003
AMER2	ENSP00000426528
AMER3	ENSP00000314914
AMFR	ENSP00000290649
AMH	ENSP00000221496
AMHR2	ENSP00000257863
AMIGO1	ENSP00000358880
AMIGO2	ENSP00000266581
AMIGO3	ENSP00000323096
AMMECR1	ENSP00000262844
AMMECR1L	ENSP00000272647
AMN1	ENSP00000281471
AMN	ENSP00000299155
AMOT	ENSP00000429013
AMOTL1	ENSP00000387739
AMOTL2	ENSP00000424765
AMPD1	ENSP00000430075
AMPD2	ENSP00000499465
AMPD3	ENSP00000379802
AMPH	ENSP00000348602
AMTN	ENSP00000341013
AMY2A	ENSP00000397582
AMZ1	ENSP00000308149
AMZ2	ENSP00000352976
ANAPC10	ENSP00000423995
ANAPC11	ENSP00000349957
ANAPC13	ENSP00000421842
ANAPC15	ENSP00000437360
ANAPC16	ENSP00000299381
ANAPC2	ENSP00000314004
ANAPC4	ENSP00000426654
ANAPC7	ENSP00000394394
ANGEL1	ENSP00000251089
ANGEL2	ENSP00000355929
ANG	ENSP00000336762
ANGPT1	ENSP00000428340
ANGPT4	ENSP00000371347
ANGPTL1	ENSP00000234816
ANGPTL3	ENSP00000360170
ANGPTL4	ENSP00000301455
ANGPTL6	ENSP00000467930
ANGPTL7	ENSP00000366015
ANHX	ENSP00000439513
ANK1	ENSP00000265709
ANK3	ENSP00000280772
ANKAR	ENSP00000427882
ANKDD1A	ENSP00000325895
ANKDD1B	ENSP00000471417
ANKFN1	ENSP00000499705
ANKFY1	ENSP00000459943
ANKHD1-EIF4EBP3	ENSP00000432016
ANKH	ENSP00000284268
ANKIB1	ENSP00000265742
ANKLE1	ENSP00000377971
ANKLE2	ENSP00000350686
ANKMY1	ENSP00000385887
ANKMY2	ENSP00000303570
ANKRA2	ENSP00000296785
ANKRD10	ENSP00000267339
ANKRD11	ENSP00000301030
ANKRD12	ENSP00000262126
ANKRD13A	ENSP00000261739
ANKRD13B	ENSP00000378328
ANKRD13C	ENSP00000359982
ANKRD13D	ENSP00000427130
ANKRD16	ENSP00000369436
ANKRD1	ENSP00000360762
ANKRD22	ENSP00000360998
ANKRD23	ENSP00000321679
ANKRD24	ENSP00000262970
ANKRD26	ENSP00000405112
ANKRD27	ENSP00000304292
ANKRD28	ENSP00000382379
ANKRD29	ENSP00000468354
ANKRD2	ENSP00000306163
ANKRD31	ENSP00000427262
ANKRD33B	ENSP00000296657
ANKRD33	ENSP00000301190
ANKRD34A	ENSP00000475189
ANKRD34B	ENSP00000339802
ANKRD34C	ENSP00000401089
ANKRD35	ENSP00000347802
ANKRD37	ENSP00000335147
ANKRD40	ENSP00000285243
ANKRD42	ENSP00000435790
ANKRD45	ENSP00000331268
ANKRD46	ENSP00000429015
ANKRD49	ENSP00000440396
ANKRD50	ENSP00000425658
ANKRD52	ENSP00000267116
ANKRD53	ENSP00000353796
ANKRD54	ENSP00000215941
ANKRD55	ENSP00000342295
ANKRD60	ENSP00000396747
ANKRD61	ENSP00000386502
ANKRD62	ENSP00000467740
ANKRD63	ENSP00000399547
ANKRD66	ENSP00000454770
ANKRD6	ENSP00000345767
ANKRD7	ENSP00000395595
ANKRD9	ENSP00000286918
ANKS1A	ENSP00000497393
ANKS1B	ENSP00000449629
ANKS3	ENSP00000304586
ANKS4B	ENSP00000308772
ANKS6	ENSP00000297837
ANKUB1	ENSP00000387907
ANKZF1	ENSP00000321617
ANLN	ENSP00000265748
ANO10	ENSP00000292246
ANO1	ENSP00000347454
ANO2	ENSP00000498903
ANO3	ENSP00000256737
ANO4	ENSP00000494481
ANO5	ENSP00000315371
ANO6	ENSP00000409126
ANO7	ENSP00000274979
ANO8	ENSP00000159087
ANO9	ENSP00000332788
ANOS1	ENSP00000262648
ANP32A	ENSP00000417864
ANP32B	ENSP00000345848
ANPEP	ENSP00000300060
ANTXR1	ENSP00000301945
ANTXR2	ENSP00000306185
ANXA10	ENSP00000352248
ANXA11	ENSP00000361305
ANXA13	ENSP00000262219
ANXA1	ENSP00000257497
ANXA2	ENSP00000346032
ANXA2R	ENSP00000315915
ANXA3	ENSP00000264908
ANXA4	ENSP00000377833
ANXA5	ENSP00000296511
ANXA6	ENSP00000346550
ANXA7	ENSP00000362010
ANXA8	ENSP00000478026
ANXA9	ENSP00000357943
AOC1	ENSP00000411613
AOC2	ENSP00000253799
AOC3	ENSP00000312326
AOX1	ENSP00000363832
AP1AR	ENSP00000274000
AP1B1	ENSP00000384194
AP1G1	ENSP00000377148
AP1G2	ENSP00000312442
AP1M1	ENSP00000388996
AP1M2	ENSP00000465685
AP1S1	ENSP00000336666
AP1S2	ENSP00000444957
AP1S3	ENSP00000397155
AP2A1	ENSP00000351926
AP2B1	ENSP00000483185
AP2M1	ENSP00000403362
AP2S1	ENSP00000470176
AP3B1	ENSP00000255194
AP3B2	ENSP00000499785
AP3D1	ENSP00000495274
AP3M1	ENSP00000347408
AP3M2	ENSP00000428787
AP3S1	ENSP00000325369
AP4B1	ENSP00000358582
AP4E1	ENSP00000261842
AP4M1	ENSP00000403663
AP4S1	ENSP00000216366
AP5B1	ENSP00000454303
AP5M1	ENSP00000390531
AP5S1	ENSP00000368886
AP5Z1	ENSP00000497815
APAF1	ENSP00000448165
APBA1	ENSP00000265381
APBA2	ENSP00000453144
APBA3	ENSP00000315136
APBB1	ENSP00000477213
APBB1IP	ENSP00000365411
APBB2	ENSP00000427211
APBB3	ENSP00000346378
APC2	ENSP00000442954
APCDD1	ENSP00000347433
APCDD1L	ENSP00000360191
APC	ENSP00000257430
APCS	ENSP00000255040
APEH	ENSP00000415862
APELA	ENSP00000484618
APEX1	ENSP00000451979
APEX2	ENSP00000364126
APH1A	ENSP00000358105
APH1B	ENSP00000261879
API5	ENSP00000431391
APIP	ENSP00000379133
APLF	ENSP00000307004
APLN	ENSP00000391800
APLNR	ENSP00000257254
APLP1	ENSP00000221891
APLP2	ENSP00000497691
APMAP	ENSP00000217456
APOA1	ENSP00000364469
APOA2	ENSP00000476911
APOA4	ENSP00000350425
APOBEC1	ENSP00000229304
APOBEC2	ENSP00000244669
APOBEC3A	ENSP00000384359
APOBEC3F	ENSP00000309749
APOBEC3H	ENSP00000385741
APOBEC4	ENSP00000310622
APOB	ENSP00000233242
APOBR	ENSP00000457539
APOC1	ENSP00000467368
APOC3	ENSP00000364494
APOC4-APOC2	ENSP00000468139
APOD	ENSP00000345179
APOH	ENSP00000205948
APOL6	ENSP00000386280
APOLD1	ENSP00000324277
APOM	ENSP00000365081
APOO	ENSP00000368528
APOOL	ENSP00000362268
APPBP2	ENSP00000083182
APP	ENSP00000284981
APPL1	ENSP00000498115
APPL2	ENSP00000446917
APRT	ENSP00000367615
APTX	ENSP00000369147
AQP10	ENSP00000318355
AQP11	ENSP00000318770
AQP12A	ENSP00000405899
AQP1	ENSP00000311165
AQP2	ENSP00000199280
AQP3	ENSP00000297991
AQP4	ENSP00000372654
AQP5	ENSP00000293599
AQP6	ENSP00000320247
AQP7	ENSP00000297988
AQP8	ENSP00000219660
AQP9	ENSP00000219919
AQR	ENSP00000156471
ARAF	ENSP00000290277
ARAP1	ENSP00000377233
ARAP2	ENSP00000302895
ARAP3	ENSP00000239440
ARC	ENSP00000349022
ARCN1	ENSP00000352385
AREG	ENSP00000421414
AREL1	ENSP00000348714
AR	ENSP00000363822
ARF1	ENSP00000272102
ARF3	ENSP00000256682
ARF4	ENSP00000306010
ARF5	ENSP00000000233
ARF6	ENSP00000298316
ARFGAP1	ENSP00000314615
ARFGAP2	ENSP00000434442
ARFGAP3	ENSP00000263245
ARFGEF1	ENSP00000262215
ARFGEF2	ENSP00000360985
ARFGEF3	ENSP00000251691
ARFIP1	ENSP00000395083
ARFIP2	ENSP00000484121
ARFRP1	ENSP00000479616
ARG1	ENSP00000349446
ARG2	ENSP00000261783
ARGFX	ENSP00000335578
ARGLU1	ENSP00000383059
ARHGAP10	ENSP00000336923
ARHGAP11A	ENSP00000355090
ARHGAP12	ENSP00000345808
ARHGAP15	ENSP00000295095
ARHGAP17	ENSP00000289968
ARHGAP18	ENSP00000357131
ARHGAP19-SLIT1	ENSP00000473567
ARHGAP1	ENSP00000310491
ARHGAP20	ENSP00000260283
ARHGAP21	ENSP00000379709
ARHGAP22	ENSP00000412461
ARHGAP23	ENSP00000481862
ARHGAP24	ENSP00000378611
ARHGAP25	ENSP00000386911
ARHGAP26	ENSP00000274498
ARHGAP27	ENSP00000403323
ARHGAP28	ENSP00000372964
ARHGAP29	ENSP00000260526
ARHGAP30	ENSP00000356992
ARHGAP31	ENSP00000264245
ARHGAP32	ENSP00000310561
ARHGAP33	ENSP00000320038
ARHGAP35	ENSP00000385720
ARHGAP36	ENSP00000276211
ARHGAP39	ENSP00000366522
ARHGAP40	ENSP00000362442
ARHGAP42	ENSP00000298815
ARHGAP44	ENSP00000368994
ARHGAP45	ENSP00000466401
ARHGAP4	ENSP00000359045
ARHGAP5	ENSP00000441692
ARHGAP6	ENSP00000338967
ARHGAP9	ENSP00000499232
ARHGDIA	ENSP00000463939
ARHGDIB	ENSP00000228945
ARHGDIG	ENSP00000219409
ARHGEF10	ENSP00000381571
ARHGEF10L	ENSP00000355060
ARHGEF11	ENSP00000357177
ARHGEF12	ENSP00000380942
ARHGEF15	ENSP00000355026
ARHGEF16	ENSP00000367629
ARHGEF19	ENSP00000270747
ARHGEF1	ENSP00000470715
ARHGEF25	ENSP00000335560
ARHGEF26	ENSP00000348828
ARHGEF28	ENSP00000411459
ARHGEF2	ENSP00000476916
ARHGEF33	ENSP00000387020
ARHGEF37	ENSP00000328083
ARHGEF38	ENSP00000416125
ARHGEF39	ENSP00000367638
ARHGEF3	ENSP00000341071
ARHGEF40	ENSP00000298694
ARHGEF4	ENSP00000386794
ARHGEF5	ENSP00000056217
ARHGEF6	ENSP00000250617
ARHGEF7	ENSP00000495631
ARHGEF9	ENSP00000364004
ARID1A	ENSP00000320485
ARID1B	ENSP00000344546
ARID2	ENSP00000335044
ARID3A	ENSP00000263620
ARID3B	ENSP00000477878
ARID3C	ENSP00000368189
ARID4A	ENSP00000347602
ARID4B	ENSP00000355562
ARID5A	ENSP00000350078
ARID5B	ENSP00000279873
ARIH1	ENSP00000369217
ARIH2	ENSP00000348769
ARL10	ENSP00000308496
ARL11	ENSP00000282026
ARL13A	ENSP00000414757
ARL13B	ENSP00000377769
ARL14	ENSP00000323847
ARL14EP	ENSP00000282032
ARL14EPL	ENSP00000472409
ARL15	ENSP00000433427
ARL16	ENSP00000380635
ARL1	ENSP00000448912
ARL2BP	ENSP00000219204
ARL2	ENSP00000246747
ARL3	ENSP00000260746
ARL4A	ENSP00000379897
ARL4C	ENSP00000339754
ARL4D	ENSP00000322628
ARL6IP1	ENSP00000306788
ARL6IP4	ENSP00000313422
ARL6IP5	ENSP00000273258
ARL6IP6	ENSP00000315357
ARL8A	ENSP00000272217
ARL8B	ENSP00000256496
ARL9	ENSP00000492671
ARMC10	ENSP00000319412
ARMC12	ENSP00000288065
ARMC1	ENSP00000276569
ARMC2	ENSP00000376417
